Tweets,Subjectivity,Polarity,Analysis
"16/16) We trust you've been blessed by this article. We invite you to make Jesus Christ the Lord of your life TODAY by following the steps in the attached image👇:

Rhapsotweets ",0.1,0.0,Neutral
"15/16) FURTHER STUDY:
Ephesians 6:16-18; 2 Corinthians 10:3-5

DAILY SCRIPTURE READING
1 Year Bible Reading Plan:
Mark 16:1-20 &amp; Deuteronomy 1-2

2 Year Bible Reading Plan:
Matthew 22:34-46 &amp; Exodus 23

Rhapsotweets",0.25,0.0,Neutral
"14/16) I declare that satan’s influence on leaders and rulers of nations of the world is broken! Your light shines brightly in their hearts today, in Jesus’ Name. Amen. Rhapsotweets",0.6333333333333333,0.20000000000000004,Positive
"13/16) PRAYER 
Dear Lord, I thank you for endowing us with your might to pull down fortresses, ideas planted in the minds of men, and theories they’ve accepted in life that have kept them from moving in the direction of your dream and destiny for them. … Rhapsotweets",0.2888888888888889,-0.15555555555555559,Negative
12/16) This is what we must do for leaders of nations to be influenced by God’s wisdom and righteousness; we must pray for them in line with God’s Word. Rhapsotweets,0.0,0.0,Neutral
"11/16) With authoritative words, rebuke the forces of darkness to desist from influencing them, and affirm that their hearts are turned to the Lord to do His will. Rhapsotweets",0.9,0.3,Positive
"10/16) So, as a Christian, recognize the enormity of the responsibility on you, to intercede for leaders of nations. Every so often, pray fervently in the spirit for the leaders in your country. Rhapsotweets",0.0,0.0,Neutral
"9/16) When we speak words in prayer, angels of God and the Spirit of God take those words and weaponize them. That’s what makes them mighty to the pulling down of fortresses. Rhapsotweets",0.5944444444444444,0.12222222222222222,Positive
"8/16) The word “warfare” is “strateia” (Greek) and it’s telling us that we’re in the strategizing office, leading a military expedition in the Spirit. Rhapsotweets",0.05,-0.05,Negative
"7/16) Then, 2 Corinthians 10:4 says, “For the weapons of our warfare are not carnal, but mighty through God to the pulling down of strong holds"". Rhapsotweets",0.6407407407407407,0.2259259259259259,Positive
"6/16) The Bible says, “I exhort therefore, that, first of all, supplications, prayers, intercessions, and giving of thanks, be made for all men; For kings, and for all that are in authority…” (1 Timothy 2:1-2). Rhapsotweets",0.26666666666666666,0.225,Positive
"5/16) When such leaders make wicked decisions and enforce repressive policies, it’s because they’re being influenced by evil forces. That’s why we pray for leaders, so that instead of being influenced by the forces of darkness, they’d be influenced by the Spirit of God.",0.75,-0.5,Negative
"4/16) Remember, Jesus said to the Jews who came to arrest Him, “Ye are of your father the devil, &amp; the lusts of your father ye will do...” (John 8:44). This is why we oftentimes find leaders and rulers of nations that are influenced &amp; controlled by the principalities of darkness.",0.0,-0.05,Negative
"3/16) Until you’re born again and transferred into the Kingdom of God’s dear Son, you remain under the power of darkness, and satan becomes the god of all that concerns you. Rhapsotweets",0.0,0.0,Neutral
"2/16) From the scripture above, we see that there’re only two groups of people: those under the power of darkness and those in the Kingdom of God’s dear Son. Rhapsotweets",0.55,0.0,Neutral
"RHAPSODY OF REALITIES
Sunday, 14th March, 2021


OUR WEAPONS OF WORDS
— Pastor Chris Oyakhilome
Rhapsotweets

A Thread … (1/16) ",0.0,0.0,Neutral
"14/14) We trust you've been blessed by this article. We invite you to make Jesus Christ the Lord of your life TODAY by following the steps in the attached image👇:

Rhapsotweets ",0.1,0.0,Neutral
